Experiment,Model,Graph,Target,MAE,RMSE,R2
A,Classical GENConv,Full Graph,HOMO,0.21222244203090668,0.2969451871522069,0.7592514753341675
A,Classical GENConv,Full Graph,LUMO,0.3067670166492462,0.44667620738833425,0.881815493106842
A,Classical GENConv,Full Graph,GAP,0.35013940930366516,0.4978295693641021,0.856324315071106
B,Classical GENConv,Causal Graph,HOMO,0.36752405762672424,0.49526547951844646,0.330289363861084
B,Classical GENConv,Causal Graph,LUMO,0.7017764449119568,0.884804158497949,0.5362656116485596
B,Classical GENConv,Causal Graph,GAP,0.7190797328948975,0.9144859637230782,0.5151851773262024
C,QCGNN,Causal Graph,HOMO,0.40784579515457153,0.5446171062108424,0.19017046689987183
C,QCGNN,Causal Graph,LUMO,0.7708910703659058,0.9504362234143526,0.46491724252700806
C,QCGNN,Causal Graph,GAP,0.8142682909965515,1.0118941814072482,0.4064025282859802
D,QCGNN,Full Graph,HOMO,0.3835725784301758,0.5215802908137884,0.25723159313201904
D,QCGNN,Full Graph,LUMO,0.7470703721046448,0.9299146871506105,0.48777449131011963
D,QCGNN,Full Graph,GAP,0.78471440076828,0.9777684204660473,0.4457651972770691
